group,value
A,0.35279488611087756
A,1.676400863298027
A,1.641271409616105
A,0.09313217936121788
A,5.431589672018065
A,0.6735961781156423
A,1.3977584232701692
A,0.24369895166119332
A,0.9838213463931863
A,0.28624298864664643
A,1.6139449374426944
A,0.4630755520823069
A,0.7790971876126078
A,0.5280705734157549
A,0.7535100511906275
A,0.4723009380049046
A,0.6129939360719022
A,0.028721511466610204
A,1.5875089804999862
A,2.5096483883382312
A,0.5809595327310999
A,3.4040892966934733
A,0.16808649612775428
A,2.784647608936616
A,0.36435443432383513
A,0.6686582601421948
A,2.4369942917513727
A,0.12692493293028886
A,0.19098496008129723
A,1.3425286534513001
A,0.9823789215008222
A,0.2879688397459327
A,0.4433582931882115
A,0.749851050712077
A,1.8997553816655635
A,0.3583204003610748
A,0.7650648542251959
A,0.35418522043705447
A,0.3043185133518662
A,2.1335421945681414
A,0.5565830377633566
A,1.3394252684601282
A,0.3027025777727855
A,0.1860350940111288
A,1.1424078211889555
A,1.4174534661483917
A,0.950886444852336
A,1.1873516130319894
A,1.018852425371325
A,1.0919559509921228
B,3.5056191217937283
B,4.1881628596921425
B,1.594828808674755
B,0.9088939250026346
B,2.484481166117515
B,1.815432303297678
B,3.728559904534512
B,2.0533680631709714
B,0.968323549907966
B,2.059048859364893
B,1.4869336513247813
B,0.9381633673154368
B,1.1286201321519376
B,4.9712475118342345
B,1.2835127115402662
B,1.109709047472408
B,1.3329271709617867
B,3.2808252497838986
B,2.1066034118873
B,1.0372461072752226
B,0.8097553073996409
B,1.3256282186815924
B,0.9807523409582296
B,3.280954498398006
B,0.9279058354361444
B,1.6210911082524722
B,2.0210329608461923
B,4.24400647262819
B,1.148573787666152
B,2.882935879655471
B,1.7164032464146366
B,2.876024050463327
B,1.229756081572136
B,1.199322787213094
B,1.103327630606378
B,2.0526761862926475
B,1.5795519321143199
B,1.839295174958108
B,2.339394049862338
B,2.1848929243928588
B,2.0543579439735336
B,2.4784971676910112
B,0.8413241881345699
B,2.6059278246635618
B,2.3604935319480282
B,1.326395771749365
B,1.0876728280755625
B,1.6527372987916675
B,3.2308348953663613
B,1.1911136762747352
