group,value
G1,0.5730674793876915
G1,0.19590621184668472
G1,0.0011048458009492535
G1,0.11004941194774075
G1,1.1951520043158457
G1,0.0017361827096279091
G1,0.47728212285210014
G1,0.7004496130916131
G1,0.298575618298007
G1,0.8048646424148327
G1,1.8274022241538015
G1,0.6259158847687486
G1,0.5873030373434314
G1,0.15164767118159445
G1,0.6316855185327809
G2,3.3989386234833687
G2,1.228794973384037
G2,1.4112305311777735
G2,4.0955595002776715
G2,0.9995513432054453
G2,0.556372115327365
G2,3.1262353073988947
G2,1.3639081693305033
G2,0.6786481864174205
G2,0.6096965280520014
G2,1.3349227912687505
G2,2.461911143533853
G2,0.5388002108225316
G2,0.5910108263793042
G2,0.639556739052031
G3,1.2549197408983748
G3,2.4962823649195096
G3,1.0847393158001855
G3,3.8621254348417864
G3,4.777760213504759
G3,8.494751824254724
G3,1.0146948626382737
G3,1.324696450630459
G3,2.1013428262595357
G3,1.1048582174013144
G3,7.1716235084883
G3,6.0342201801726105
G3,2.0255563872009783
G3,3.9968050146638774
G3,4.108309581851612
G4,2.8214874586477148
G4,2.355344450648334
G4,5.0118986754015715
G4,2.547361366345675
G4,5.844669251938844
G4,3.269206512238637
G4,2.697981687010457
G4,2.3750119849841047
G4,2.099314783144406
G4,1.8859741302807893
G4,1.518607933594069
G4,2.0435028860605735
G4,1.5319974445136146
G4,1.9380175452855397
G4,7.28662921307751
