before,after
89.76107979329416,95.1863225739171
96.55139966140989,101.5520748061412
82.43869597795596,81.66623170961319
92.91151583243817,100.44346992582463
103.78726004308409,108.00896725577617
114.4702434506588,136.21558992210356
91.2509939470767,108.83783316687862
92.15024271918644,100.23701513963844
74.23253164313614,73.128073965578
98.0480089534611,94.14871717759377
87.25102705768523,101.78017068239616
93.64672687160711,100.74872067278422
89.47767066198894,98.31881788912182
98.86884934896932,89.91216145317578
78.90725930372042,91.32676715618587
82.39545705530811,91.03081976102303
125.55096534433957,121.66751986902375
84.55092902471162,85.77873056511203
86.83857305854433,93.94831069339648
122.04296233985576,127.46269672670572
134.86080603088487,137.52343654445644
85.9412004540959,90.11329430956822
95.58101251854363,98.56519349288855
104.09866661128612,110.31916670810587
120.74437173286711,137.51630751681236
88.15771505886116,72.62444753141078
97.05666584869468,100.1618637326172
109.32805091274093,115.74015028372051
105.21719289359942,112.58514481109621
95.48612714523881,97.51081049466849
98.3941244258075,89.34035016597885
83.50125029956021,91.1252141692731
97.14191507230402,115.96071678561749
96.80335011989254,89.53245888056344
102.78603867551507,114.69666278510059
93.3360733741718,95.70787158918866
105.65846227054166,110.16786750391088
112.15258981383795,108.72940172820635
101.86515193202159,104.18950255317458
104.22107690079044,119.6214336583821
