group,value
A,2.046432325133137
A,1.1178920988415986
A,1.8506003950998422
A,0.7269306835668887
A,1.0678492560009665
A,0.3802188861549473
A,0.21905413174549496
A,2.1449173839231466
A,0.14030296197025907
A,0.18789899501048302
A,0.31024173757568946
A,0.9674993801737591
A,0.41383907602047015
A,0.6844829353149614
A,2.1597789009247332
B,2.650064283241118
B,2.2054963884652317
B,1.0051399165503514
B,2.2273051240315587
B,1.3453739979198591
B,0.9485163162725438
B,1.27931086166839
B,0.8846689234295904
B,1.8981021801451592
B,1.9660123057834602
B,1.153160131165996
B,0.8550097004313336
B,4.075172536388649
B,1.7693589914405492
B,2.585687347748748
